FECHA,DEPARTAMENTO,MUNICIPIO,DIA,DELITO,NOMDEL,mes,dia
1/01/15,ANTIOQUIA,ITAGUI,Jueves,ART269F,VIOLACION DE DATOS PERSONALES,0,1
1/01/15,ANTIOQUIA,MEDELLIN (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,1
1/01/15,ANTIOQUIA,SABANETA,Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,1
1/01/15,CASANARE,YOPAL (CT),Jueves,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,1
1/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,1
1/01/15,CUNDINAMARCA,MADRID,Jueves,ART269F,VIOLACION DE DATOS PERSONALES,0,1
1/01/15,META,PUERTO LOPEZ,Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,1
1/01/15,QUINDIO,ARMENIA (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,1
1/01/15,SANTANDER,BUCARAMANGA (CT),Jueves,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,1
1/01/15,TOLIMA,IBAGUE (CT),Jueves,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,1
1/01/15,VALLE,CALI (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,1
1/01/15,VALLE,GUACARI,Jueves,ART269F,VIOLACION DE DATOS PERSONALES,0,1
2/01/15,ANTIOQUIA,MEDELLIN (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,ANTIOQUIA,MEDELLIN (CT),Viernes,ART269J,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS,0,2
2/01/15,ANTIOQUIA,MEDELLIN (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,ATLANTICO,BARRANQUILLA (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,BOLIVAR,CARTAGENA (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,HUILA,LA PLATA,Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,META,VILLAVICENCIO (CT),Viernes,ART269F,VIOLACION DE DATOS PERSONALES,0,2
2/01/15,NORTE DE SANTANDER,CUCUTA (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,QUINDIO,ARMENIA (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,QUINDIO,ARMENIA (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,RISARALDA,PEREIRA (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,SANTANDER,BUCARAMANGA (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
2/01/15,TOLIMA,IBAGUE (CT),Viernes,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,2
2/01/15,VALLE,CALI (CT),Viernes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,2
3/01/15,ANTIOQUIA,MEDELLIN (CT),Sabado,ART269G,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES,0,3
3/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Sabado,ART269F,VIOLACION DE DATOS PERSONALES,0,3
3/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Sabado,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,3
3/01/15,GUAJIRA,MAICAO,Sabado,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,3
3/01/15,QUINDIO,ARMENIA (CT),Sabado,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,3
3/01/15,RISARALDA,PEREIRA (CT),Sabado,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,3
3/01/15,VALLE,BUENAVENTURA,Sabado,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,3
3/01/15,VALLE,CALI (CT),Sabado,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,3
3/01/15,VALLE,EL CERRITO,Sabado,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,3
4/01/15,ATLANTICO,MALAMBO,Domingo,ART269F,VIOLACION DE DATOS PERSONALES,0,4
4/01/15,BOLIVAR,EL CARMEN DE BOLIVAR,Domingo,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,4
4/01/15,QUINDIO,ARMENIA (CT),Domingo,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,4
4/01/15,RISARALDA,PEREIRA (CT),Domingo,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,4
4/01/15,TOLIMA,IBAGUE (CT),Domingo,ART269J,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS,0,4
4/01/15,TOLIMA,IBAGUE (CT),Domingo,ART269J,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS,0,4
5/01/15,ANTIOQUIA,MEDELLIN (CT),Lunes,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,5
5/01/15,ATLANTICO,BARRANQUILLA (CT),Lunes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,5
5/01/15,BOLIVAR,MAGANGUE,Lunes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,5
5/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Lunes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,5
5/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Lunes,ART269F,VIOLACION DE DATOS PERSONALES,0,5
5/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Lunes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,5
5/01/15,HUILA,NEIVA (CT),Lunes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,5
5/01/15,HUILA,NEIVA (CT),Lunes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,5
5/01/15,MAGDALENA,FUNDACION,Lunes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,5
5/01/15,META,VILLAVICENCIO (CT),Lunes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,5
5/01/15,SANTANDER,BUCARAMANGA (CT),Lunes,ART269G,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES,0,5
5/01/15,SANTANDER,BUCARAMANGA (CT),Lunes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,5
5/01/15,VALLE,CALI (CT),Lunes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,5
6/01/15,ANTIOQUIA,COCORNA,Martes,ART269F,VIOLACION DE DATOS PERSONALES,0,6
6/01/15,ANTIOQUIA,MEDELLIN (CT),Martes,ART269B,OBS ILEGITIMA DE SISTEMA INFORMATICO O RED DE TELECOMUNICACION,0,6
6/01/15,ANTIOQUIA,MEDELLIN (CT),Martes,ART269G,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES,0,6
6/01/15,ATLANTICO,BARRANQUILLA (CT),Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
6/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Martes,ART269F,VIOLACION DE DATOS PERSONALES,0,6
6/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
6/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
6/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
6/01/15,HUILA,SAN AGUSTIN,Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
6/01/15,MAGDALENA,SANTA MARTA (CT),Martes,ART269F,VIOLACION DE DATOS PERSONALES,0,6
6/01/15,NARINO,PASTO (CT),Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
6/01/15,RISARALDA,PEREIRA (CT),Martes,ART269F,VIOLACION DE DATOS PERSONALES,0,6
6/01/15,RISARALDA,PEREIRA (CT),Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
6/01/15,SAN ANDRES,SAN ANDRES (CT),Martes,ART269J,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS,0,6
6/01/15,SANTANDER,BUCARAMANGA (CT),Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
6/01/15,SANTANDER,PIEDECUESTA,Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
6/01/15,TOLIMA,HONDA,Martes,ART269J,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS,0,6
6/01/15,TOLIMA,IBAGUE (CT),Martes,ART269J,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS,0,6
6/01/15,VALLE,BUENAVENTURA,Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
6/01/15,VALLE,PALMIRA,Martes,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,6
7/01/15,ANTIOQUIA,BELLO,Miercoles,ART269D,DANO INFORMATICO,0,7
7/01/15,ANTIOQUIA,ITAGUI,Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,ANTIOQUIA,MEDELLIN (CT),Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,ANTIOQUIA,RIONEGRO,Miercoles,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,7
7/01/15,ATLANTICO,SOLEDAD,Miercoles,ART269F,VIOLACION DE DATOS PERSONALES,0,7
7/01/15,BOLIVAR,MAGANGUE,Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,CAUCA,POPAYAN (CT),Miercoles,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,7
7/01/15,CESAR,VALLEDUPAR (CT),Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Miercoles,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,7
7/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Miercoles,ART269F,VIOLACION DE DATOS PERSONALES,0,7
7/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,MAGDALENA,SANTA MARTA (CT),Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,META,GUAMAL,Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,QUINDIO,ARMENIA (CT),Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
7/01/15,TOLIMA,IBAGUE (CT),Miercoles,ART269F,VIOLACION DE DATOS PERSONALES,0,7
7/01/15,VALLE,CALI (CT),Miercoles,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,7
8/01/15,ANTIOQUIA,BELLO,Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,ANTIOQUIA,MEDELLIN (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,ATLANTICO,BARRANQUILLA (CT),Jueves,ART269J,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS,0,8
8/01/15,BOLIVAR,CARTAGENA (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,BOYACA,SANTANA,Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,CALDAS,PALESTINA,Jueves,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,8
8/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Jueves,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,8
8/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,CUNDINAMARCA,BOGOTA D.C. (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,NARINO,PASTO (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,NARINO,PASTO (CT),Jueves,ART269A,ACCESO ABUSIVO A UN SISTEMA INFORMATICO,0,8
8/01/15,RISARALDA,PEREIRA (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,SANTANDER,BUCARAMANGA (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,SANTANDER,BUCARAMANGA (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,SANTANDER,GIRON,Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
8/01/15,TOLIMA,IBAGUE (CT),Jueves,ART269I,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES,0,8
